Zat_Padat_Terlarut;Kekeruhan;Besi;Fluorida;Total_Hardness;Chlorida;Mangan;Nitrat;Nitrit;Ph;Seng;Sulfat;Senyawa_Aktif_Biru_Metilen;Organik_KMnO4;Suhu;Bakteri_Koli;Kualitas;Zat_Padat_Terlarut,Kekeruhan,Besi,Fluorida,Total_Hardness,Chlorida,Mangan,Nitrat,Nitrit,Ph,Seng,Sulfat,Senyawa_Aktif_Biru_Metilen,Organik_KMnO4,Suhu,Bakteri_Koli,Kualitas
418;00.02;00.08;00.21;1164.29.00;34.34.00;00.05;0,089583333;0.003;08.03;00.02;58.27.00;00.03;00.01;23.05;0;0;418,0.02,0.08,0.21,1164.29,34.34,0.05,1.69,0.003,8.3,0.02,58.27,0.03,0.1,23.5,0,0
424;00.04;00.08;00.12;242.45.00;38.72;00.05;0;0.003;08.03;00.19;27.92;00.03;00.28;23;0;0;424,0.4,0.08,0.12,242.45,38.72,0.05,0,0.003,8.3,0.19,27.92,0.03,0.28,23,0,0
421;00.01;00.08;00.05;180.41.00;39.36.00;0,133333333;03.52;03.36;08.01;00.04;05.56;00.03;15.39;23;0;0;421,0.1,0.08,0.05,180.41,39.36,2.72,3.52,3.36,8.1,0.04,5.56,0.03,15.39,23,0,0
314;00.01;00.13;00.05;90.41.00;29.22.00;00.22;0;0.007;08.03;00.02;0,26875;00.03;00.28;23.08;0;1;314,0.1,0.13,0.05,90.41,29.22,0.22,0,0.007,8.3,0.02,5.87,0.03,0.28,23.8,0,1
242;00.02;00.08;00.05;103.67;1,014583333;00.45;0;0.006;08.01;00.02;14.02;00.03;00.07;23.08;0;0;242,0.02,0.08,0.05,103.67,23.81,0.45,0,0.006,8.1,0.02,14.2,0.03,0.07,23.8,0,0
282;00.02;00.08;00.19;0,875694444;39.85;00.09;01.34;0.023;8;00.03;0,233333333;00.03;00.01;23.06;0;1;282,0.02,0.08,0.19,20.61,39.85,0.09,1.34,0.023,8,0.03,4.96,0.03,0.1,23.6,0,1
360;00.02;00.08;00.17;197.96;50.18.00;00.14;02.34;0.021;07.07;00.01;38.07.00;00.03;03.37;23;2700;0;360,0.02,0.08,0.17,197.96,50.18,0.14,2.34,0.021,7.7,0.01,38.07,0.03,3.37,23,2700,0
318;1;00.08;00.28;765.31.00;38.41.00;00.05;03.01;0.005;07.05;00.01;27.64;00.03;0,250694444;23.08;800;0;318,1,0.08,0.28,765.31,38.41,0.05,3.1,0.005,7.5,0.01,27.64,0.03,5.61,23.8,800,0
248;00.01;00.08;00.19;100;43.29.00;00.14;0,188888889;0.003;07.03;00.01;13.41;00.03;03.07;23.08;0;0;248,0.1,0.08,0.19,100,43.29,0.14,3.92,0.003,7.3,0.01,13.41,0.03,3.07,23.8,0,0
195;00.02;00.08;00.05;94.09.00;29.08.00;00.05;0,091666667;0.003;07.06;00.02;04.41;00.03;00.07;23.06;0;1;195,0.02,0.08,0.05,94.9,29.08,0.05,1.72,0.003,7.6,0.02,4.41,0.03,0.07,23.6,0,1
572;00.01;00.08;00.56;34.69;78.72;00.05;00.07;0.003;08.04;00.01;40.97;00.36;08.34;23.01;0;0;572,0.1,0.08,0.56,34.69,78.72,0.05,0.07,0.003,8.4,0.01,40.97,0.36,8.34,23.1,0,0
378;29.04.00;00.08;00.09;116.33.00;38.37.00;00.05;0;0.003;7;00.01;32.06.00;00.28;05.54;23.03;0;0;378,29.4,0.08,0.09,116.33,38.37,0.05,0,0.003,7,0.01,32.06,0.28,5.54,23.3,0,0
3200;03.03;00.08;0,046527778;106.12.00;324.07.00;00.07;0;0.004;08.01;00.01;91.78;00.04;15.45;23.02;0;0;3200,3.3,0.08,0.67,106.12,324.7,0.07,0,0.004,8.1,0.01,91.78,0.04,15.45,23.2,0,0
1810;0,047916667;00.08;00.57;67.35.00;614.97;00.05;00.08;0.006;08.03;00.01;90.22.00;00.03;13.21;23.02;0;0;1810,0.69,0.08,0.57,67.35,614.97,0.05,0.08,0.006,8.3,0.01,90.22,0.03,13.21,23.2,0,0
185;02.04;00.08;00.05;71.43.00;01.48;0,045833333;01.05;0.004;06.07;00.04;36.88;00.03;0,178472222;23.02;0;0;185,2.4,0.08,0.05,71.43,1.48,0.66,1.05,0.004,6.7,0.04,36.88,0.03,3.77,23.2,0,0
