Zat_Padat_Terlarut;Kekeruhan;Besi;Fluorida;Total_Hardness;Chlorida;Mangan;Nitrat;Nitrit;Ph;Seng;Sulfat;Senyawa_Aktif_Biru_Metilen;Organik_KMnO4;Suhu;Bakteri_Koli;Kualitas;Zat_Padat_Terlarut,Kekeruhan,Besi,Fluorida,Total_Hardness,Chlorida,Mangan,Nitrat,Nitrit,Ph,Seng,Sulfat,Senyawa_Aktif_Biru_Metilen,Organik_KMnO4,Suhu,Bakteri_Koli,Kualitas
259;00.08;00.08;00.18;119.57.00;35.41.00;00.05;00.19;0.003;07.02;00.01;0,254861111;00.03;00.18;24.05.00;100;1;259,0.8,0.08,0.18,119.57,35.41,0.05,0.19,0.003,7.2,0.01,5.67,0.03,0.18,24.5,100,1
169;00.02;00.08;00.08;58.07.00;27.83;00.05;0,146527778;0.003;06.06;02.04;03.57;00.03;01.23;24.05.00;0;1;169,0.2,0.08,0.08,58.7,27.83,0.05,2.91,0.003,6.6,2.4,3.57,0.03,1.23,24.5,0,1
155;01.03;00.08;00.14;47.83;35.92;00.05;02.01;0.003;06.09;00.04;03.01;00.05;04.56;24.04.00;0;0;155,1.3,0.08,0.14,47.83,35.92,0.05,2.1,0.003,6.9,0.04,3.1,0.05,4.56,24.4,0,0
242;00.02;00.08;00.14;123.91;0,927083333;00.05;00.36;0.003;07.07;00.01;06.04;00.03;01.06;24.05.00;100;1;242,0.2,0.08,0.14,123.91,21.75,0.05,0.36,0.003,7.7,0.01,6.4,0.03,1.6,24.5,100,1
209;00.01;00.08;00.12;73.91;33.09.00;00.05;02.48;0.003;07.03;00.03;32.62;00.03;0,057638889;24.05.00;100;0;209,0.1,0.08,0.12,73.91,33.9,0.05,2.48,0.003,7.3,0.03,32.62,0.03,0.83,24.5,100,0
262;00.01;00.08;00.24;108.07.00;41.99;00.05;03.07;0.006;7;00.01;24.54.00;00.04;01.23;24.04.00;0;0;262,0.1,0.08,0.24,108.7,41.99,0.05,3.07,0.006,7,0.01,24.54,0.04,1.23,24.4,0,0
211;01.05;00.08;00.15;80.43.00;41.49.00;00.56;00.22;0.004;06.09;00.01;0,845833333;00.03;00.04;24.03.00;1000;0;211,1.5,0.08,0.15,80.43,41.49,0.56,0.22,0.004,6.9,0.01,19.78,0.03,0.4,24.3,1000,0
258;01.55;00.08;00.05;87.76;31.37.00;00.05;0,174305556;0.043;06.07;00.01;14.43;00.03;0,231944444;23.06;100;0;258,1.55,0.08,0.05,87.76,31.37,0.05,3.71,0.043,6.7,0.01,14.43,0.03,4.94,23.6,100,0
237;02.31;00.09;00.04;87.76;26.81;00.05;00.47;0.054;07.04;00.01;44.21.00;00.03;04.02;23.07;1100;0;237,2.31,0.09,0.04,87.76,26.81,0.05,0.47,0.054,7.4,0.01,44.21,0.03,4.2,23.7,1100,0
134;00.02;00.08;00.05;55.01.00;28.84;00.05;01.49;0.004;07.02;00.05;03.15;00.03;0,136111111;24.08.00;700;1;134,0.02,0.08,0.05,55.1,28.84,0.05,1.49,0.004,7.2,0.05,3.15,0.03,2.76,24.8,700,1
263;00.02;00.08;00.01;93.88;50.59.00;00.05;0,092361111;0.004;7;00.02;21.18;00.03;0,044444444;24.08.00;0;1;263,0.02,0.08,0.1,93.88,50.59,0.05,1.73,0.004,7,0.02,21.18,0.03,0.64,24.8,0,1
275;00.06;00.08;00.11;114.29.00;53.12.00;00.05;02.37;00.01;07.04;00.03;15.03;00.03;02.46;24.08.00;136.24.00;0;275,0.6,0.08,0.11,114.29,53.12,0.05,2.37,0.01,7.4,0.03,15.03,0.03,2.46,24.8,136.24,0
268;15.03;00.16;00.08;106.12.00;34.91;00.05;0;0.005;06.09;00.01;13.44;00.08;01.33;24.08.00;0;0;268,15.3,0.16,0.08,106.12,34.91,0.5,0,0.005,6.9,0.01,13.44,0.08,1.33,24.8,0,0
147;00.02;00.08;00.06;46.94;17.02;00.05;0,151388889;0.004;7;00.02;0,383333333;00.03;00.04;24.08.00;300;1;147,0.02,0.08,0.06,46.94,17.2,0.05,2.98,0.004,7,0.02,8.72,0.03,0.4,24.8,300,1
152;00.02;00.08;00.07;46.94;08.06;00.05;02.35;0.003;07.02;00.02;0,254861111;00.03;0,065277778;24.08.00;0;1;152,0.02,0.08,0.07,46.94,8.6,0.05,2.35,0.003,7.2,0.02,5.67,0.03,0.94,24.8,0,1
212;00.02;00.08;00.06;77.55.00;49.07.00;00.05;00.09;0.004;06.05;00.04;0,220833333;00.03;0,110416667;24.08.00;0;1;212,0.02,0.08,0.06,77.55,49.07,0.05,0.9,0.004,6.5,0.04,4.78,0.03,1.99,24.8,0,1
77.03.00;00.01;00.08;00.13;34.69;11.13;00.03;05.08;0.006;6;00.01;04.52;00.03;04.03;23.04;3000;0;77.3,0.01,0.08,0.13,34.69,11.13,0.3,5.08,0.006,6,0.01,4.52,0.03,4.03,23.4,3000,0
119;00.02;00.08;00.02;44.09.00;0,8;00.05;05.06;0.003;06.04;00.02;0,26875;00.03;01.36;23.07;0;1;119,0.02,0.08,0.2,44.9,18.72,0.05,5.06,0.003,6.4,0.02,5.87,0.03,1.36,23.7,0,1
87.06.00;00.01;00.08;00.05;28.57.00;0,672222222;00.05;07.57;0.003;05.04;00.08;04.45;00.03;01.05;23.08;0;1;87.6,0.01,0.08,0.05,28.57,15.68,0.05,7.57,0.003,5.4,0.08,4.45,0.03,1.05,23.8,0,1
200;00.03;00.08;00.22;69.39.00;49.58.00;00.12;02.58;0.004;06.02;00.03;04.45;00.03;0,051388889;23.08;0;1;200,0.03,0.08,0.22,69.39,49.58,0.12,2.58,0.004,6.2,0.03,4.45,0.03,0.74,23.8,0,1
168;00.01;00.08;00.27;65.31.00;28.33.00;00.05;0,272916667;0.003;06.04;00.02;22.44;00.03;01.48;23.07;500;0;168,0.1,0.08,0.27,65.31,28.33,0.05,5.93,0.003,6.4,0.02,22.44,0.03,1.48,23.7,500,0
147;00.02;00.08;00.28;59.18.00;0,927083333;00.05;0,302777778;0.006;06.06;00.01;0,234722222;00.03;0,085416667;23.06;0;0;147,0.02,0.08,0.28,59.18,21.75,0.05,6.76,0.006,6.6,0.01,4.98,0.03,1.63,23.6,0,0
113;00.02;00.08;00.05;38.78;17.02;00.05;02.13;0.007;06.03;00.01;04.06;00.03;00.31;24.09.00;0;1;113,0.02,0.08,0.05,38.78,17.2,0.05,2.13,0.007,6.3,0.01,4.06,0.03,0.31,24.9,0,1
239;00.02;00.08;00.06;75.51.00;0,970138889;00.05;00.27;0.008;07.07;00.01;0,222916667;00.03;0,050694444;24.08.00;0;1;239,0.02,0.08,0.06,75.51,22.77,0.05,0.27,0.008,7.7,0.01,4.81,0.03,0.73,24.8,0,1
239;00.02;00.14;00.12;97.96;1,0125;00.05;0;0.005;07.06;00.01;23.07;00.03;00.16;24.08.00;1000;1;239,0.02,0.14,0.12,97.96,23.78,0.05,0,0.005,7.6,0.01,23.7,0.03,0.16,24.8,1000,1
145;00.02;00.08;00.05;55.01.00;21.25;00.05;01.42;0.005;06.07;00.03;0,852083333;00.03;00.16;24.08.00;0;1;145,0.02,0.08,0.05,55.1,21.25,0.05,1.42,0.005,6.7,0.03,19.87,0.03,0.16,24.8,0,1
305;00.02;00.08;00.05;126.53.00;44.28.00;00.05;00.14;0.006;08.02;00.01;46.72;00.03;03.44;24;0;0;305,0.2,0.08,0.05,126.53,44.28,0.05,0.14,0.006,8.2,0.01,46.72,0.03,3.44,24,0,0
466;00.02;00.08;00.39;0,511111111;46.87;00.05;00.12;0.008;08.03;00.07;3;00.15;07.45;23.06;0;0;466,0.02,0.08,0.39,11.76,46.87,0.05,0.12,0.008,8.3,0.07,3,0.15,7.45,23.6,0,0
1830;15.47;00.33;0,052777778;231.31.00;568.64;00.11;00.25;0.011;08.04;00.02;0,386805556;00.01;57.97;23.06;1000;0;1830,15.47,0.33,0.76,231.31,568.64,0.11,0.25,0.011,8.4,0.02,8.77,0.1,57.97,23.6,1000,0
296;0,067361111;00.08;00.29;0,552777778;36.78;00.05;00.09;0.004;8;00.01;20.47;00.06;05.34;23.05;0;0;296,0.97,0.08,0.29,12.76,36.78,0.05,0.09,0.004,8,0.01,20.47,0.06,5.34,23.5,0,0
421;0,796527778;00.08;00.22;44.87;47.27.00;00.24;00.13;0.005;07.07;00.01;37.81;00.28;11.28;23.05;200;0;421,18.67,0.08,0.22,44.87,47.27,0.24,0.13,0.005,7.7,0.01,37.81,0.28,11.28,23.5,200,0
315;0,19375;00.16;00.01;0,856944444;36.34.00;00.15;00.04;0.006;07.08;00.02;35.78;00.15;06.25;23.06;0;0;315,3.99,0.16,0.1,19.94,36.34,0.15,0.04,0.006,7.8,0.02,35.78,0.15,6.25,23.6,0,0
287;150.05.00;00.08;00.05;85.34.00;33.08.00;00.07;00.46;0.015;07.01;00.01;32.72;00.11;40.41.00;23.07;0;0;287,150.5,0.08,0.05,85.34,33.8,0.07,0.46,0.015,7.1,0.01,32.72,0.11,40.41,23.7,0,0
761;00.02;00.01;0,054861111;34.05.00;146.14.00;00.05;00.12;0.003;08.02;00.01;53.08.00;00.08;04.02;23.08;0;0;761,0.02,0.1,0.79,34.5,146.14,0.05,0.12,0.003,8.2,0.01,53.08,0.08,4.02,23.8,0,0
703;01.02;00.11;00.08;18.54;132.22.00;00.05;0,054861111;0.094;08.03;00.03;53.25.00;00.01;07.38;23.05;0;0;703,1.2,0.11,0.8,18.54,132.22,0.05,0.79,0.094,8.3,0.03,53.25,0.1,7.38,23.5,0,0
925;20.06;00.14;00.08;150.75;238.09.00;01.35;00.05;0.003;07.08;01.35;06.11;00.38;07.06;23.07;0;0;925,20.6,0.14,0.8,150.75,238.09,1.35,0.05,0.003,7.8,1.35,6.11,0.38,7.6,23.7,0,0
536;00.02;00.08;01.19;99.07.00;137.69;01.32;00.02;0.011;07.08;00.01;46.07.00;00.06;06.28;23.05;0;0;536,0.02,0.08,1.19,99.7,137.69,1.32,0.02,0.011,7.8,0.01,46.07,0.06,6.28,23.5,0,0
1310;00.02;00.01;01.07;0,856944444;201.09.00;00.05;00.15;0.003;08.05;00.01;224.27.00;00.17;03.13;23.04;0;0;1310,0.2,0.1,1.07,19.94,201.09,0.05,0.15,0.003,8.5,0.01,224.27,0.17,3.13,23.4,0,0
393;00.02;00.13;00.29;0,674305556;43.83;00.05;0;0.005;08.01;00.01;62.56.00;00.05;00.26;24.03.00;400;1;393,0.02,0.13,0.29,15.71,43.83,0.05,0,0.005,8.1,0.01,62.56,0.05,0.26,24.3,400,1
839;00.02;00.08;00.27;34.49.00;187.44.00;00.09;0;0.004;08.03;00.05;69.39.00;00.06;00.29;23.07;1200;0;839,0.02,0.08,0.27,34.49,187.44,0.09,0,0.004,8.3,0.05,69.39,0.06,0.29,23.7,1200,0
3060;00.02;00.08;00.54;204.29.00;285.84;00.39;0,063194444;0.033;08.05;00.25;59.71;00.04;00.38;24;0;0;3060,0.02,0.08,0.54,204.29,285.84,0.39,0.91,0.033,8.5,0.25,59.71,0.04,0.38,24,0,0
692;00.02;00.08;00.39;72.86;59.53.00;00.05;0;0.004;08.05;00.01;60.01.00;00.04;00.15;24.09.00;0;0;692,0.02,0.08,0.39,72.86,59.53,0.05,0,0.004,8.5,0.01,60.01,0.04,0.15,24.9,0,0
628;00.02;00.08;0,061805556;0,473611111;34.93;00.05;0;0.005;08.06;00.01;69.88;00.03;00.26;24.05.00;0;0;628,0.02,0.08,0.89,10.82,34.93,0.05,0,0.005,8.6,0.01,69.88,0.03,0.26,24.5,0,0
806;00.02;00.13;00.32;186.73;34.93;00.05;00.52;0.029;08.04;00.03;53.54.00;00.05;01.19;23.09;800;0;806,0.02,0.13,0.32,186.73,34.93,0.05,0.52,0.029,8.4,0.03,53.54,0.05,1.19,23.9,800,0
363;00.41;00.08;00.22;33.05.00;25.08.00;00.05;0,04375;0.007;08.02;00.01;40.84;00.06;0,232638889;23.06;100;0;363,0.41,0.08,0.22,33.5,25.8,0.05,0.63,0.007,8.2,0.01,40.84,0.06,4.95,23.6,100,0
352;0,892361111;0,045833333;00.05;78.56.00;60.24.00;02.17;00.08;0.011;08.01;00.02;54.29.00;00.08;13.03;23.05;0;0;352,20.85,0.66,0.05,78.56,60.24,2.17,0.08,0.011,8.1,0.02,54.29,0.08,13.03,23.5,0,0
488;00.43;00.08;00.19;45.46.00;65.12.00;00.05;03.18;0.006;08.02;00.01;110.48.00;00.07;05.04;23.08;300;0;488,0.43,0.08,0.19,45.46,65.12,0.05,3.18,0.006,8.2,0.01,110.48,0.07,5.4,23.8,300,0
363;0,059027778;00.08;00.21;90.53.00;42.75;00.05;02.15;00.09;08.02;00.02;24.25.00;00.06;05.57;23.09;0;0;363,0.85,0.08,0.21,90.53,42.75,0.05,2.15,0.09,8.2,0.02,24.25,0.06,5.57,23.9,0,0
270;00.02;00.09;00.19;125.01.00;25.19.00;00.06;01.22;0.004;07.09;00.03;43.97;00.03;00.16;23.07;0;1;270,0.02,0.09,0.19,125.1,25.19,0.06,1.22,0.004,7.9,0.03,43.97,0.03,0.16,23.7,0,1
255;00.02;00.08;00.09;113.27.00;41.92;00.05;0,134027778;0.007;07.01;00.03;45.87;00.04;00.22;23.01;0;1;255,0.02,0.08,0.09,113.27,41.92,0.05,2.73,0.007,7.1,0.03,45.87,0.04,0.22,23.1,0,1
289;00.02;00.08;00.28;102.24.00;30.55.00;00.05;01.42;0.003;07.07;00.04;37.56.00;00.03;02.07;23;0;0;289,0.02,0.08,0.28,102.24,30.55,0.05,1.42,0.003,7.7,0.04,37.56,0.03,2.07,23,0,0
207;00.02;00.08;00.04;86.73;1,004166667;00.05;0,142361111;0.003;07.07;00.03;53.69;00.03;02.25;23.02;200;0;207,0.02,0.08,0.04,86.73,23.66,0.05,2.85,0.003,7.7,0.03,53.69,0.03,2.25,23.2,200,0
474;00.01;00.08;00.05;118.37.00;65.92;00.28;0;0.003;08.02;00.01;0,985416667;00.05;04.27;23.02;800;0;474,0.01,0.08,0.05,118.37,65.92,0.28,0,0.003,8.2,0.01,22.99,0.05,4.27,23.2,800,0
179;00.04;00.08;00.05;56.12.00;17.27;00.05;0,047916667;0.003;07.08;00.12;28.05.00;00.03;0,257638889;23.01;0;0;179,0.4,0.08,0.05,56.12,17.27,0.05,0.69,0.003,7.8,0.12,28.5,0.03,5.71,23.1,0,0
454;0,050694444;00.08;00.05;265.31.00;32.27.00;00.05;0;0.003;07.09;00.14;28.42.00;00.03;0,213194444;23.01;100;0;454,0.73,0.08,0.05,265.31,32.27,0.05,0,0.003,7.9,0.14,28.42,0.03,4.67,23.1,100,0
313;44.52.00;00.12;00.16;143.67;35.77;01.09;0;0.009;08.01;00.01;26.05.00;00.32;0,148611111;23.03;0;0;313,44.52,0.12,0.16,143.67,35.77,1.09,0,0.009,8.1,0.01,26.05,0.32,2.94,23.3,0,0
170;00.01;00.08;00.14;57.14.00;0,842361111;00.05;0,067361111;00.01;8;00.11;25.36.00;00.03;0,148611111;23.02;100;1;170,0.1,0.08,0.14,57.14,19.73,0.05,0.97,0.01,8,0.11,25.36,0.03,2.94,23.2,100,1
153;00.01;00.08;00.11;61.02.00;19.43;00.05;0,066666667;0.007;07.09;00.02;29.69;00.03;00.51;23.02;0;1;153,0.1,0.08,0.11,61.02,19.43,0.05,0.96,0.007,7.9,0.02,29.69,0.03,0.51,23.2,0,1
249;00.04;00.08;00.17;121.22.00;0,927083333;00.05;00.49;0.003;08.01;00.02;36;00.03;01.02;23.04;2200;0;249,0.4,0.08,0.17,121.22,21.75,0.05,0.49,0.003,8.1,0.02,36,0.03,1.2,23.4,2200,0
203;00.02;00.08;00.08;87.76;36.16.00;00.05;02.17;0.003;07.07;00.41;15.11;00.03;00.13;23.01;1200;1;203,0.02,0.08,0.08,87.76,36.16,0.05,2.17,0.003,7.7,0.41,15.11,0.03,0.13,23.1,1200,1
231;00.02;00.22;00.08;85.74;26.79;01.37;01.07;0.007;08.01;00.02;21.27;00.06;06.22;24;100;0;231,0.2,0.22,0.08,85.74,26.79,1.37,1.07,0.007,8.1,0.02,21.27,0.06,6.22,24,100,0
350;00.02;00.08;00.23;100.09.00;47.22.00;00.05;0,056944444;0.014;08.02;00.01;17.07;00.07;06.09;23.09;118.56.00;0;350,0.02,0.08,0.23,100.9,47.22,0.05,0.82,0.014,8.2,0.01,17.7,0.07,6.9,23.9,118.56,0
259;00.04;00.08;00.05;85.34.00;41.26.00;00.07;0,109027778;0.003;8;00.05;34.78;00.06;04.27;23.07;200;0;259,0.4,0.08,0.05,85.34,41.26,0.07,1.97,0.003,8,0.05,34.78,0.06,4.27,23.7,200,0
316;00.02;00.08;00.05;112.66;51.69;01.26;0,143055556;0.032;08.02;00.01;49.35.00;00.06;05.18;23.06;0;0;316,0.02,0.08,0.05,112.66,51.69,1.26,2.86,0.032,8.2,0.01,49.35,0.06,5.18,23.6,0,0
330;31.02.00;00.18;00.05;105.48.00;40.71;00.38;00.56;0.043;08.03;00.03;44.35.00;00.07;08.16;23.08;800;0;330,31.2,0.18,0.05,105.48,40.71,0.38,0.56,0.043,8.3,0.03,44.35,0.07,8.16,23.8,800,0
436;25.08.00;00.12;00.05;158.72;75.06.00;00.05;00.16;0.039;08.02;00.01;21.01;00.07;07.45;23.08;473.08.00;0;436,25.8,0.12,0.05,158.72,75.06,0.05,0.16,0.039,8.2,0.01,21.01,0.07,7.45,23.8,473.8,0
245;00.02;00.08;00.19;67.06.00;31.66;00.05;03.33;0,100694444;07.01;00.02;35.43.00;00.05;0,558333333;23.06;2700;0;245,0.02,0.08,0.19,67.6,31.66,0.05,3.33,0.145,7.1,0.02,35.43,0.05,12.84,23.6,2700,0
175;00.02;00.08;00.06;67.35.00;217.45.00;00.05;00.33;0.004;07.06;00.04;21.54;00.03;00.17;23.04;0;1;175,0.02,0.08,0.06,67.35,217.45,0.05,0.33,0.004,7.6,0.4,21.54,0.03,0.17,23.4,0,1
500;01.07;00.08;00.02;67.35.00;59.04.00;00.05;00.24;0.006;08.05;00.01;73.11.00;00.03;04.17;24.05.00;0;0;500,1.7,0.08,0.2,67.35,59.04,0.05,0.24,0.006,8.5,0.01,73.11,0.03,4.17,24.5,0,0
296;00.18;00.08;00.05;114.08.00;38.47.00;00.05;03.23;0.008;07.08;00.02;0,397222222;00.03;04.07;23.02;600;0;296,0.18,0.08,0.05,114.08,38.47,0.05,3.23,0.008,7.8,0.02,8.92,0.03,4.7,23.2,600,0
485;0,044444444;00.08;00.05;224.08.00;61.05.00;00.05;03.17;0.003;07.09;00.03;57.09.00;00.03;05.37;23.04;0;0;485,0.64,0.08,0.05,224.08,61.5,0.05,3.17,0.003,7.9,0.03,57.09,0.03,5.37,23.4,0,0
